title|content


그래픽 연합뉴스    기존 체계로는 글로벌 기후위기 대응이 어렵고 재생에너지원전수소 등 다양한 무탄소에너지를 폭넓게 활용해야만 효과적인 탄소중립이 실현 가능하다는 전문가들의 공감대가 확인됐다 이회성 연합 회장은 일 우리나라가 세계경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정하며 무탄소화 기술 확산을 주도하는 것은 우리나라의 국격에 부합한다 이와 같은 활동이 바로  이니셔티브라고 말했다이날 산업통상자원부가 후원하고 대한상의연합이 공동 개최한 무탄소에너지 잠재력 제고를 위한 세미나에서는 기후위기 대응 체계 전환을 위한 전력과 산업공정의 무탄소화 방안이 활발하게 논의됐다이 자리에는 안덕근 산업부 장관과 김상협 탄소중립녹색성장위원회 위원장 등 정부기관장 외에도 주현 산업연구원장 김현제 에너지경제연구원장 등 국책연구원장 국내 대학연구소의 저명한 전문가들이 대거 참석했다참석자들은 특정 기술이나 시나리오에 의존하지 않는 다양한 탄소중립 노력 필요김용건 교수 재생원전수소 등 다양한 무탄소에너지의 공급 확대주현 원장 재생에너지 원전 등 무탄소에너지 이용 극대화를 위한 전력망 확충박종배 교수 그린수소 생산단가 절감을 위한 기술개발 및 금융지원문재도 회장 소형모듈원전 개발을 통한 원전 경쟁력 유지정범진 학회장 등 다양한 의견을 제시했다우태희 대한상의 상근부회장도 우리의 제조역량에 전력산업부문 무탄소화 전략이 접목되면 미래시장 선점이 가능하다고 강조했다세미나에서는 첨단산업 등 제조업 비중이 높은 우리 산업의 여건 상 탄소중립 대응과 산업경쟁력 확보를 보다 효과적으로 달성하기 위해서는 지난해 월 유엔기후변화협약 당사국 총회 에서 국제사회가 합의한 것처럼 다양한 무탄소에너지를 적극 활용해야 한다는 등의 공감대가 형성됐다 안덕근 산업부 장관은 탄소중립은 우리 들에게  선택이 아닌 생존을 위한 필수과제이며 산업경쟁력과도 직결되는 국가적 과제라며 주요국과 무탄소에너지 이행기준을 조속히 마련하는 등  이니셔티브의 국제 확산을 통해 우리 의 탄소중립 달성을 지원해 나가겠다고 밝혔다김상협 탄소중립녹색성장위원장은  이니셔티브의 성공을 위해서는 산업계의 호응과 참여를 얻는 것이 중요하다며 글로벌 탄소중립에 기여하는 국제규범으로 폭넓게 인정받을 수  노력해나가자고 강조했다'
매경경영지원본부 칼럼 자율주행차 포기는 공룡의 대오각성|년 한성서울에 전차 운행이 개시되었다 운행 며칠 후 어린이가 전차에 치어 죽는 사고가 발생하자 군중은 도끼로 전차를 부수고 불태웠다 얼마 후 사망 사고가 또 발생했다 잇단 사고에 화가 난 군중은 전차를 다시 불태웠다 안전이 무시된 전차를 민중은 받아들이지 않았고 그에 대한 분노는 방화로 이어졌다 지금도 역사는 되풀이 된다웨이모는 언뜻 들으면 가발 브랜드인 것 같지만 가발은 아니다 년 자율주행차 개발을 위해 설립된 구글의 자회사이다 구글은 년부터 자율주행 프로젝트를 시작하여 인간이 전혀 개입하지 않는 단계  완전 자율주행차를 목표로 한다고 대외적으로 천명한 바  그런데 지난 달  샌프란시스코에서 잇단 사고에 분노한 군중이 웨이모 자율주행차에 방화하여 태워 버렸다 지난 해 샌프란시스코시는 의 크루즈와 구글 웨이모에게 자율주행택시 영업허가를 주었다 밤에 승객을 태운 자율주행택시 크루즈가 교차로에서 긴급 출동 중인 소방차의 옆구리를 들이박아 승객이 부상을 입었다 은 자율주행택시가 주변의 불빛 때문에 소방차를 인식하지 못해서 발생한 사고라고 해명하였으나 방화는 웨이모가 당했다웨이모의 홈페이지에 들어가 보면 안전이 가장 강조되고  알 수  웨이모를 경험이 풍부한 최고 운전수로 교육시켜 눈 깜짝할 사이에 일어나는 각종 사고를 예방하겠다는 의지가 철철 넘친다 그러기 위해 만 마일의 실제 도로 주행과 억 마일의 시뮬레이션을 통해 얻은 데이터로 웨이모의 를 교육 시키고  자랑한다도로에서 시시각각 발생하는 경우의 수는 거의 무한대이다 따라서 아무리 기계학습 과 딥러닝 을 시켜도 가 혼자 추론하여 대응하기에는 아직은 역부족이니 인식오류로 인한 사고는 언제든지 날 수  교통사고 원인의  이상은 신호위반 음주운전 인지 실수 조작미숙 등 인간의 고의 또는 과실이다 자율주행차를 개발하는 여러 이유 중 사고를 획기적으로 줄여 안전한 환경을 만들자는 것이 가장 중요한 이유이다구글에  버금가는  공룡 애플은 문화가 좀 다르다 천재 스티브 잡스 이래 비밀주의와 과도한 자신감이 만연되어  년부터 비밀리에 추진해 오던 자율주행차 프로젝트 타이탄을 년에나 발표하였다 그 후에도 아이폰을 성공시킨 실력으로 아이카 정도는 언제든지 맘만 먹으면 뚝딱 내놓을 수  자신감 넘치는 태도를 보여왔다 이제 지난년 동안 조원을 투자하며 진행해온 타이탄을 포기하고 그동안 남들 다하는데 애플만 소홀히 했던 에 집중하겠다는 발표가 나왔다 돈도 돈이지만 성공의 로만 꽉 찬 듯이 자신만만했던 공룡의 년 공부가 성과없이 도루묵이 되자 그 충격의 파장은 크다 현재까지 빅테크 역사상 최대의 실패사례로 평가된다이는 인간의 개입 없는 자율주행 단계 가 실현될 수 없는 꿈 아니면 오만한 인류의 바벨탑인가라는 회의를 불러 일으키기에 충분하다 애플의 자율주행차 포기 결정은 여러가지 상황을 종합적으로 고려한 후 나온 것이다 우선 작년부터 나타난 전기차의 판매부진이 그 결정에 크게 작용했다 자율주행차는 미래 자동차로서 탄소중립과도 맞물리니 전기차로 갈 수밖에 없다 탄소중립과 전기차에 대한 각국의 지원과 보조금은 아직은 확고하지 못하고 상황과 위정자에 따라 흔들린다 더구나 올해는 미국 대선과  집행위원장 선거가  해이다 누가 당선되는지에 따라 전기차에 대한 보조금 정책이 흔들릴 수  이런 분위기에서 전기차 확산의 속도조절은 피할 수 없다 내연기관 대비 비싼 전기차의 판매가 지금까지 매년 신장된 데에는 보조금도 큰 기여를 했다 이제 일시적이지만 수요의 급상승은 기대 난망이다 이런 상황에서 미국의 리비안은 조지아주에서 추진하던 조원짜리 전기차 공장의 건설 공사를 무기한 중단했다두번째로 고려한 상황은 자율주행차의 안전성이다 첨단  기술을 총동원 하였다지만 경우의 수가 무한대인 도로에서 안전과 관련하여 언제나 한결같이 정확하고 합리적이며 정의로운 판단을 가 내린다고 믿기에는 아직 이르다 주지하다시피 챗 등 많은 가  그들이 내놓는 결과물에는 아직 오류가 많다 그들이 학습한 데이터를 분류하는 기준과 가중치에 내재된 오류와 편견이 한 이유이다 또 학습 안된 전혀 새로운 상황에 대해서는 기존 데이터에 근거한 추론만으로 판단하니 완벽하지는 않다 주변 인식과 판단에서 오류가   자율주행차에 생명을 맡길 수는 없다 미국 등 자동차 선진국에서 조사한 결과 단계 이상의 자율주행차를 사겠다는 소비자는 소수에 그친다 아직은 자율주행차의 사회적 또는 시장의 수용성이 낮다는 뜻이다그렇다면 주춤거리는 전기차와 자율주행차를 여기서 그냥 멈춰 세워야 하나 왜 주춤거리는지 그 이유를 알면 답이 보인다 그 이유는 미국의 유명한 경영학자 크리스텐슨 교수가 주창한 점진적 혁신 과 파괴적 혁신  이론으로 풀어 볼 수  점진적 혁신이란 기존 제품을 점진적으로 개선하여 더 향상된 성능을 원하는 소비자에게 더 비싼 가격으로 공급하여 시장을 장악하는 것이다 반면 파괴적 혁신은 획기적 기술과 성능이지만 상대적으로 저렴한 가격으로 시장을 장악하는 것이다 두 혁신의 공통점은 시장이 그 제품을 받아들인다는 것이니 시장의 수용성이 성공의 관건이다전기차와 자율주행차는 파괴적 혁신일까 아니면 점진적 혁신일까 그 제품 개발  관계자들은 파괴적 혁신의 산물이라 주장하겠지만 크리스텐슨의 이론에 따르면 둘 다 점진적 혁신 제품이다 전기차는 년 대 초 이미 발명왕 에디슨이 개발한 것이었고 포디즘에 의한 대량으로 값싸게 공급된 가솔린 엔진이라는 파괴적 혁신 제품에게 패배하여 시장에서 사라진 과거가  그것이 정부의 보조금을 등에 업고 다시 등장했지만 친환경이라는 점 외에는 시장에 크게 어필할 파괴적 기술은 아직 실현되지 않았기 때문에 현재 주춤거리고 자율주행차도 마찬가지이다 충돌회피 또는 차선유지 시스템 등 이미 보급된 첨단 운전자 지원시스템     등의 점진적 개선에 불과하다 위급시에만 운전자가 개입하여 통제하는 단계 까지는 점진적 혁신이고 안전이 확보되어 전혀 인간의 개입이 필요 없는 단계부터는 파괴적 혁신으로 볼 수 따라서 파괴적 혁신이 아니라면 시장이 수용할 만한 점진적 혁신이라도 지속해야 한다 파괴도 점진도 아니고 시장의 수용성도 낮은 데 가격만 높은 전기차와 자율주행차는 시장에서 주춤거릴 수밖에 없다 충전시간 및 주행거리에서 배터리의 파괴적 혁신이 실현되기 이전에는 점진적 혁신으로서 플러그인 하이브리드 자동차가 대안이 될 수  세계적 컨설팅 업체  가 최근 전망한 대로 자율주행차는 년까지는를 장착한 단계 에 머무를 것이다 소비자의 안전이 확실히 보장되는 단계로의 진입은 년 이후라고 는 예상한다 그 이전에는 의 추론 판단력과 반도체의 진화가 먼저 이루어 져야 하고 그 위에 인프라 향상 법규 정비 그리고  윤리 확립으로 자율주행차의 안전 확보와 사회적 수용성이 향상되어야 한다애플이 자율주행차를 포기하고 로의 선택과 집중을 발표한 것은 초심으로 돌아가 기본에 충실하겠다는 거대 공룡의 대오각성으로 보인다진의환 매경경영지원본부 칼럼니스트 소프트랜더스 고문 전 현대자동차 중남미권역본부장
무탄소에너지 활용해야 효과적 탄소중립 실현 가능|'대한상의연합 세미나 공동 개최재생에너지원전수소 등 다양한 무탄소에너지를 폭넓게 활용해야만 효과적인 탄소중립이 실현 가능하다는 전문가들의 공감대가 확인됐다대한상공회의소와 연합은 일 대한상의 국제회의장에서무탄소에너지 잠재력 제고를 위한 세미나를 공동 개최했다이번 세미나에는 산업부 안덕근 장관 탄소중립녹색성장위원회 김상협 위원장 등 정부기관장 외에도 우태희 대한상의 부회장 주현 산업연구원장 김현제 에너지경제연구원장 등 경제단체 대학연구소 전문가들이 대거 참석했다



안덕근 산업부 장관앞줄 왼쪽 네번째과 우태희 대한상의 상근부회장앞줄 왼쪽 여섯번째이 주요참석자들과 기념촬영을 하고  사진대한상의세미나에서는 우리 이 심화되는 국제 환경규제에 대응하고 국제 경쟁력을 지속적으로 유지증진하기 위한 무탄소 에너지 활용과 확대 방안에 대해 유관기관장과 각 분야 전문가들이 해법을 제시했다참석자들은 특정 기술이나 시나리오에 의존하지 않는 다양한 탄소중립 노력 필요김용건 교수 재생원전수소 등 다양한 무탄소에너지의 공급 확대주현 원장 재생에너지 원전 등  이용 극대화를 위한 전력망 확충박종배 교수 그린수소 생산단가 절감을 위한 기술개발 및 금융지원문재도 회장 소형모듈원전 개발을 통한 원전 경쟁력 유지정범진 학회장 등 다양한 의견을 내놨다이회성 연합 회장은 개회사에서 우리나라가 세계경제에서 기후위기 대응을 선도하고 새로운 국제규범을 설정하며 무탄소화 기술 개발과 확산을 주도하는 것은 우리나라의 국격에 부합하며 이와 같은 활동이 바로  이니셔티브임을 강조했다안덕근 장관은 축사에서 탄소중립은 우리 들에게  선택이 아닌 생존을 위한 필수과제이며 산업경쟁력과도 직결되는 국가적 과제라며 우리 의 탄소중립을 지원하기 위해 보조세제융자 기술혁신 등 다양한 노력을 기울여 나감과 함께 주요국과 조속히 무탄소에너지 이행기준을 마련해 국제사회에 통용될 수  노력해나가겠다고 밝혔다김상협 탄소중립녹색성장위원장은  이니셔티브의 성공을 위해서는 산업계의 호응과 참여를 얻는 것이 중요하다며 글로벌 탄소중립에 기여하는 국제규범으로 폭넓게 인정받을 수  노력해나가자고 강조했다우태희 대한상의 상근부회장은 환영사를 통해 제조강국인 우리나라는 탄소중립시대에 신시장을 주도할 수  역량을 보유하고 며 우리의 제조역량에 발전산업부문 무탄소화 전략이 접목된다면 우리들이 미래시장을 선점할 수  경쟁력이 될 것이라고 말했다이날 진행된 토론에서 참석자들은 첨단산업 등 제조업 비중이 높은 우리 산업의 여건 상 탄소중립 대응과 산업경쟁력 확보를 보다 효과적으로 달성하기 위해서는 지난해 월 유엔기후변화협약 당사국 총회에서 국제사회가 합의한 것처럼 다양한 무탄소에너지를 적극 활용해야 하며 무탄소에너지의 잠재력을 실제의 공급 능력 확충으로 연결해야 한다는 데 공감했다대한상의와 연합은 올해 첫 공동행사로 이번 세미나를 개최했으며 후원기관인 산업통상자원부는 앞으로도 무탄소에너지 확산과 탄소중립을 실현하기 위해 두 기관과 지속적으로 협력하기로 했다'
창원산업진흥원창원문화재단 탄소중립 네트워크 구축|창원뉴시스 경남 창원시 탄소중립 지원센터인 창원산업진흥원과 창원문화재단이 일 탄소 배출 제로 도시 및  탄소중립 실현을 위한 업무협약을 체결하고  사진창원시청 제공   재판매 및  금지창원뉴시스강경국   경남 창원시 탄소중립 지원센터인 창원산업진흥원과 창원문화재단이 탄소배출 제로 도시 및  탄소중립 실현을 위한 업무협약을 체결했다고 일 밝혔다협약은 탄소중립 선도도시 창원을 위한 공공기관 탄소중립 업무 네트워크 강화의 일환으로 추진됐다이에 따라 두 기관은 공공부문 온실가스 인벤토리 감축에 협력하고 생활 속 탄소중립 실천문화 확산과 시민 참여형 교육 프로그램 발굴운영 지원에 나설 예정이다또 환경더하기 탄소 빼기 온실가스줄이기 실천 다짐 퍼포먼스를 통해 탄소중립 실천 의지를 다졌다정숙이 기후환경국장은 시민들이 탄소중립을 이해하고 쉽게 다가갈 수  창원시와 두 기관이 협업해 탄소중립 문화를 확산하고 인식 전환의 계기를 마련하고자 한다며 시민들의 많은 관심과 협조를 당부한다고 말했다
